Type,Display_name,Date,Contents,Categories,translated_content,cleaned_data,neg,neu,pos,compound,sentiment_label
Post,Jocelyn Ferrer Barles,2020-10-25,Owner and staffs are very accommodating.  Sure to be back. ,Accomodation,Owner and staff are very accommodating.  Sure to be back.,owner staff accommodating sure back,0.0,0.635,0.365,0.3182,positive
Tweet,Neo Bautista,2023-10-04,"The beach in San Juan wasnÆt as clean as expected, and it ruined the paddleboarding experience.",Experience,"The beach in San Juan wasn't as clean as expected, and it ruined the paddleboarding experience.",beach san juan wasnt clean expected ruined paddleboarding experience,0.191,0.593,0.216,0.0762,positive
Post,AYEN,2023-06-18,"Thank you San Juan hostel, the staff is kind and the rooms are neat I really liked the many outlets in the Room we are not stealing from my companions. Thank you for making our La Union trip smooth and hassle-free. Next time again. ",Accomodation,"Thank you San Juan hostel, the staff is kind and the rooms are neat I really liked the many outlets in the Room we are not stealing from my companions. Thank you for making our La Union trip smooth and hassle-free. Next time again.",thank san juan hostel staff kind room neat really liked many outlet room stealing companion thank making la union trip smooth hasslefree next time,0.102,0.497,0.4,0.8687,positive
Post,Katrina Flores,2022-12-20,"A fantastic find at an affordable price! Close to popular attractions, beachfront, in a peaceful community, and very spacious and clean. The owner was highly responsive to all my questions and inquiries. I will definitely book this place again when we return to La Union.",Acommodation,"A fantastic find at an affordable price! Close to popular attractions, beachfront, in a peaceful community, and very spacious and clean. The owner was highly responsive to all my questions and inquiries. I will definitely book this place again when we return to La Union.",fantastic find affordable price close popular attraction beachfront peaceful community spacious clean owner highly responsive question inquiry definitely book place return la union,0.0,0.435,0.565,0.9628,positive
Post,James Kekenusa,2021-06-28,the beach. the pool. the accomodations. the food. .the coffee. the halo halo. .the great view on the sunset. .,Activities,the beach. the pool. the accommodations. the food. .the coffee. the halo halo .the great view on the sunset. .,beach pool accommodation food coffee halo halo great view sunset,0.0,0.687,0.313,0.6249,positive
Tweet,Livvy_S78,2023-03-20,District Pub is perfect for a more laid-back vibe. No need to shout over loud music.,Experience,District Pub is perfect for a more laid-back vibe. No need to shout over loud music.,district pub perfect laidback vibe need shout loud music,0.0,0.574,0.426,0.6369,positive
Reply,Daija de Guzman,2023-06-01,The beach in San Juan is perfect for both relaxing and catching some waves.,Experience,The beach in San Juan is perfect for both relaxing and catching some waves.,beach san juan perfect relaxing catching wave,0.0,0.42,0.58,0.7845,positive
Tweet,Ayesha Cruz,2023-06-06,Surfing in Elyu never disappoints! IÆm already planning my next trip back.,Experience,Surfing in Elyu never disappoints! I'm already planning my next trip back.,surfing elyu never disappoints im already planning next trip back,0.0,0.805,0.195,0.2924,positive
Tweet,Zachariah Mendoza,2023-10-20,The pottery session in Taboc felt too rushed. I didnÆt get to enjoy it as much as I wanted to.,Experience,The pottery session in Taboc felt too rushed. I didn't get to enjoy it as much as I wanted to.,pottery session taboc felt rushed didnt get enjoy much wanted,0.226,0.774,0.0,-0.3875,negative
Post,Jhaps Cordova,2023-01-05,"Will definitely go back to this place with my friends! We enjoyed it so much, it's really good that I discovered them. This is our favorite place to stay in LU. See you again, Dompoy!",Accomodation,"Will definitely go back to this place with my friends! We enjoyed it so much, it's really good that I discovered them. This is our favorite place to stay in LU. See you again, Dompoy!",definitely go back place friend enjoyed much really good discovered favorite place stay lu see dompoy,0.0,0.413,0.587,0.9399,positive
Post,Arvin John Ong,2024-06-30,We had the most beautiful view from the rooftop of Elyu Bakasyunan! Perfect for sunset watching!,Experience,We had the most beautiful view from the rooftop of Elyu Bakasyunan! Perfect for sunset watching!,beautiful view rooftop elyu bakasyunan perfect sunset watching,0.0,0.441,0.559,0.8225,positive
Post,Hershey Shae Respicio,2023-04-30,"second time here  I recommended shorebreak, It is cozy and has the aesthetically pleasing ambiance. I also adore the interior design of the bathroom, well maintained the cleanliness five-star for this This hostel is perfect for barkada",Accomodation,"second time here I recommend shorebreak, It is cozy and has the aesthetically pleasing ambiance. I also adore the interior design of the bathroom, well maintained the cleanliness five-star for this This hostel is perfect for friends",second time recommend shorebreak cozy aesthetically pleasing ambiance also adore interior design bathroom well maintained cleanliness fivestar hostel perfect friend,0.0,0.431,0.569,0.9552,positive
Tweet,Oli_Watt10,2022-03-21,"I loved the surf lessons, but the instructors were sometimes a bit too pushy.",Activities,"I loved the surf lessons, but the instructors were sometimes a bit too pushy.",loved surf lesson instructor sometimes bit pushy,0.191,0.455,0.355,0.4215,positive
Post,Anna Liza Navalta Sy,2021-12-06,Great place for the family and friends to enjoy the yummy and tasty greek foodàthumbs up,Food,Great place for the family and friends to enjoy the yummy and tasty greek food à thumbs up,great place family friend enjoy yummy tasty greek food à thumb,0.0,0.335,0.665,0.9313,positive
Post,Rj Roco,2019-04-22,"it is hard to find a budget friendly place with a great place to stay that is near tourist spots, resto, bars and cafe, to topped it off add the very majestic sun set and welcoming owners of the resort. The place has still more to improve but for us it is already satisfying, thanks sir emil, ate jane and kuya jR for accommodating us. We'll surely come back.

From cottage 3and4
4-21-18",Accomodation,"it is hard to find a budget friendly place with a great place to stay that is near tourist spots, restaurants, bars and cafes, to top it off add the very majestic sun set and welcoming owners of the resort. The place still has more to improve but for us it is already satisfying, thanks sir emil, sister jane and brother jR for accommodating us. We'll surely come back.

From cottages 3 and 4
4-21-18",hard find budget friendly place great place stay near tourist spot restaurant bar cafe top add majestic sun set welcoming owner resort place still improve u already satisfying thanks sir emil sister jane brother jr accommodating u well surely come back cottage 3 4 42118,0.023,0.563,0.415,0.9732,positive
Reply,ada wong stan,2024-05-07,"Kami ng family ko, nagustuhan namin yung Fatwave Resort. Bawat room may sariling wifi tapos may 2 restos. Tapos nasa 6k-7k yung 4-5 pax.",Accomodation,My family and I liked the Fatwave Resort. Each room has its own wifi and there are 2 restos. Then 4-5 pax is around 6k-7k.,family liked fatwave resort room wifi 2 restos 45 pax around 6k7k,0.0,0.797,0.203,0.4215,positive
Tweet,Tierra delos Santos,2024-09-04,"Surfing in Elyu was a blast, but the waves were stronger than I expected.",Experience,"Surfing in Elyu was a blast, but the waves were stronger than I expected.",surfing elyu blast wave stronger expected,0.0,0.658,0.342,0.3818,positive
Post,Catherine Joy Ong,2023-07-21,Just booked a stay at San Juan Surf Resort! CanÆt wait to enjoy the beach and all the good food nearby!,Experience,Just booked a stay at San Juan Surf Resort! CanÆt wait to enjoy the beach and all the good food nearby!,booked stay san juan surf resort canæt wait enjoy beach good food nearby,0.0,0.643,0.357,0.7269,positive
Reply,juri,2022-11-22,The beach in San Juan was dirtier than expected. It kind of ruined the paddleboarding experience.,Experience,The beach in San Juan was dirtier than expected. It kind of ruined the paddleboarding experience.,beach san juan dirtier expected kind ruined paddleboarding experience,0.369,0.403,0.228,-0.2732,negative
Reply,polwhisperer,2022-10-11,Camp Avenue was an adventurous experience; I loved swimming right by the shore.,Accomodation,Camp Avenue was an adventurous experience; I loved swimming right by the shore.,camp avenue adventurous experience loved swimming right shore,0.0,0.488,0.512,0.743,positive
Tweet,Kyle.Geroca,2024-03-24,"The best coffee I've tried in elyu Must try LOKAL COFFEE! At San Juan, La Union.",Food,"The best coffee I've tried in elyu Must try LOKAL COFFEE! And San Juan, La Union.",best coffee ive tried elyu must try lokal coffee san juan la union,0.0,0.741,0.259,0.6369,positive
Post,Coffee Rumble,2023-05-14,booked a fan bali hut through Mam Ruby. for 2k mura na sya. as in a minute away from the beach lang sya. during night time sobrang lamig kaya di na need ang aircon. not recco lang sa mga digital nomads since di nga sha aircon and mainit kapag daytime talaga. all in all we enjoyed our stay here.,Accomodation,booked a fan bali hut through Mam Ruby. for 2k he is cheap. as in a minute away from the beach. during night time it is very cold so the air conditioner is not needed. not recco only for digital nomads since there is no air conditioning and it's really hot during the daytime. all in all we enjoyed our stay here.,booked fan bali hut mam ruby 2k cheap minute away beach night time cold air conditioner needed recco digital nomad since air conditioning really hot daytime enjoyed stay,0.0,0.816,0.184,0.7063,positive
Comment,Imelda I.Mayoáá,2023-07-28,"Beautiful church- St. John the Baptist at San Juan, La Union",Activities,"Beautiful church - St. John the Baptist and San Juan, La Union",beautiful church st john baptist san juan la union,0.0,0.672,0.328,0.5994,positive
Post,Clara Marie Reyes,2022-04-03,Newly opened hotel and restaurant in La Union called NUQ. Stunning design and the Aligue pasta is so delicious.,Experience,Newly opened hotel and restaurant in La Union called NUQ. Stunning design and the Aligue pasta is so delicious.,newly opened hotel restaurant la union called nuq stunning design aligue pasta delicious,0.0,0.636,0.364,0.743,positive
Reply,Keyanna Valdez,2022-05-09,"Surfing in Elyu is ideal for beginners and pros alike, thanks to the variety of waves.",Experience,"Surfing in Elyu is ideal for beginners and pros alike, thanks to the variety of waves.",surfing elyu ideal beginner pro alike thanks variety wave,0.0,0.526,0.474,0.743,positive
Tweet,LyraPadilla,2021-11-24,The breakfast at Crisante was a highlight of my stay!,Accomodation,The breakfast at Crisante was a highlight of my stay!,breakfast crisante highlight stay,0.0,0.556,0.444,0.34,positive
Tweet,abcdef_anjii,2023-08-18,"Traffic was insane on the way to San Juan La Union, but once we got there, the surf and the friendly vibe made the trip worth it.",Experience,"Traffic was insane on the way to San Juan La Union, but once we got there, the surf and the friendly vibe made the trip worth it.",traffic insane way san juan la union got surf friendly vibe made trip worth,0.144,0.585,0.271,0.34,positive
Post,Aileen Rivera,2022-02-18,"Clean Beach Resort offers a quiet and relaxing stay, perfect for unwinding after a day of surfing.",Experience,"Clean Beach Resort offers a quiet and relaxing stay, perfect for unwinding after a day of surfing.",clean beach resort offer quiet relaxing stay perfect unwinding day surfing,0.0,0.455,0.545,0.8625,positive
Post,Ivan del Valleá,2019-05-26,Cookies are made perfect. . also the best milkteas.,Food,Cookies are made perfect. . also the best milk teas.,cooky made perfect also best milk tea,0.0,0.388,0.612,0.836,positive
Reply,Kai updates pinned ??,2023-02-03,Paddleboarding in San Juan was the highlight of my trip; it was such a relaxing experience.,Experience,Paddleboarding in San Juan was the highlight of my trip; it was such a relaxing experience.,paddleboarding san juan highlight trip relaxing experience,0.0,0.472,0.528,0.6808,positive
Post,Chloe Anne Tan,2020-02-29,"Our assigned room (8) needs serious renovation. Aircon is not working properly. Cannot understand the ceiling design.

Place is far from the surfing area in La Union. So dont consider this resort if you plan to visit San Juan to surf.",Experience,"Our assigned room (8) needs serious renovation. Aircon is not working properly. Can't understand the ceiling design.

Place is far from the surfing area in La Union. So don't consider this resort if you plan to visit San Juan to surf.",assigned room 8 need serious renovation aircon working properly cant understand ceiling design place far surfing area la union dont consider resort plan visit san juan surf,0.048,0.952,0.0,-0.0772,negative
Tweet,mavchauncy187otkbm  ,2023-07-17,Promdi La Union is too wild for me. Not the place for a quiet night out.,Activities,Promdi La Union is too wild for me. Not the place for a quiet night out.,promdi la union wild place quiet night,0.0,1.0,0.0,0.0,positive
Post,Kat Agustin,2024-03-17,"Napakabait po ng owner and staffs, very accommodating!!! Very affordable din ang rooms and with free breakfast. Bukod sa very instagrammable ang place, napakalinis at peaceful pa. Babalik kami for sure!!",Accomodation,"The owner and staff are very kind, very accommodating!!! The rooms are also very affordable and with free breakfast. Besides the place being very instagrammable, it's also very clean and peaceful. We will be back for sure!!",owner staff kind accommodating room also affordable free breakfast besides place instagrammable also clean peaceful back sure,0.0,0.446,0.554,0.9313,positive
Post,Izabelle Manalastas,2022-02-10,"Thank you so much, Waves 'n Cakes for making my debut cake so special and memorable. Siyempre without a perfect and exquisite cake maker like you maybe my debut cake will not be that remarkable as how you do. Thank you so much again, Waves 'n Cakes. You really made my debut extra special!",Food,"Thank you so much, Waves 'n Cakes for making my debut cake so special and memorable. Of course without a perfect and exquisite cake maker like you maybe my debut cake will not be that remarkable as how you do. Thank you so much again, Waves 'n Cakes. You really made my debut extra special!",thank much wave n cake making debut cake special memorable course without perfect exquisite cake maker like maybe debut cake remarkable thank much wave n cake really made debut extra special,0.069,0.552,0.379,0.91,positive
Post,Travel Cheap Asia,2024-02-04,"Shorebreak hostel is an aesthetic yet affordable place to stay in Urbiztondo La Union. They boast clean capsule beds for as low as 1,500 pesos. We booked a private room for 8 pax with its own private toilet and bath for 9,800 pesos. The private toilet and bath is equipped with hot and cold showers, two tissue rolls, handwash, shampoo and body soap. There's plenty of affordable dining options around this hostel and parking space. For more details, visit our webpage",Accomodation,"Shorebreak hostel is an aesthetic yet affordable place to stay in Urbiztondo La Union. They boast clean capsule beds for as low as 1,500 pesos. We booked a private room for 8 pax with its own private toilet and bath for 9,800 pesos. The private toilet and bath is equipped with hot and cold showers, two tissue rolls, handwash, shampoo and body soap. There are plenty of affordable dining options around this hostel and parking space. For more details, visit our webpage",shorebreak hostel aesthetic yet affordable place stay urbiztondo la union boast clean capsule bed low 1500 peso booked private room 8 pax private toilet bath 9800 peso private toilet bath equipped hot cold shower two tissue roll handwash shampoo body soap plenty affordable dining option around hostel parking space detail visit webpage,0.038,0.912,0.049,0.1531,positive
Post,Marc Regino,2023-06-27,Gefseis Greek Grill serves up authentic Greek dishes with a stunning beachfront view.,Experience,Gefseis Greek Grill serves up authentic Greek dishes with a stunning beachfront view.,gefseis greek grill serf authentic greek dish stunning beachfront view,0.0,0.776,0.224,0.3818,positive
Tweet,G_Sullivan77,2023-03-03,"The sunsets are nice, but the frequent cloudy skies in San Juan can dull the experience.",Experience,"The sunsets are nice, but the frequent cloudy skies in San Juan can dull the experience.",sunset nice frequent cloudy sky san juan dull experience,0.216,0.56,0.224,0.0258,positive
Post,Ana Abad,2022-09-30,Enjoying our first night here at Kahel. Good thing we got to enjoy the sunset as well.,Accomodation,Enjoying our first night here at Kahel. Good thing we got to enjoy the sunset as well.,enjoying first night kahel good thing got enjoy sunset well,0.0,0.341,0.659,0.891,positive
Tweet,Easton_Blake12,2023-07-17,Medlay Bar La Union had a fun atmosphere but the drinks were pricey.,Food,Medlay Bar La Union had a fun atmosphere but the drinks were pricey.,medlay bar la union fun atmosphere drink pricey,0.0,0.68,0.32,0.5106,positive
Post,Alec Ventura,2022-03-02,Clean Beach Resort is perfect for those looking for a peaceful stay with good food options.,Experience,Clean Beach Resort is perfect for those looking for a peaceful stay with good food options.,clean beach resort perfect looking peaceful stay good food option,0.0,0.324,0.676,0.91,positive
Tweet,?,2024-08-04,hindi naman ako nagbabad sa dagat ng ilang oras pero nakatulog ako at para bang na-air fry sa elyu ,Activities,I didn't soak in the sea for a few hours but I fell asleep and it was like being air fried in elyu,didnt soak sea hour fell asleep like air fried elyu,0.0,0.783,0.217,0.3612,positive
Tweet,rei ???????? ?,2024-07-21,ooh take me back to elyu,Experience,ooh take me back to elyu,ooh take back elyu,0.0,1.0,0.0,0.0,positive
Tweet,Reginald Aquino,2024-07-24,"The surf at Urbiz was epic last time, and IÆm already dreaming of heading back for more.",Experience,"The surf at Urbiz was epic last time, and I'm already dreaming of heading back for more.",surf urbiz epic last time im already dreaming heading back,0.0,1.0,0.0,0.0,positive
Post,Celine Cordero,2024-01-06,Surfed all day and had dinner at Mad Monkeys. The best burgers in Elyu!,Experience,Surfed all day and had dinner at Mad Monkeys. The best burgers in Elyu!,surfed day dinner mad monkey best burger elyu,0.239,0.448,0.313,0.25,positive
Post,Daffny Arches,2022-10-30,"October 16-18 3D2N

They allowed us to check in 2 hours earlier since we didn't expect that the bus ride would only take 4hrs from Cubao. (departed 11pm) They have air conditioned rooms (split type), a bed for 2 and a mini sofa inside the room which are all cleaned. They have a common bathroom (always clean) There's a lounging area where you can hang around which is also in front of the highway. The best part is that the Great Northwest and the Tavern are right next to them, then Flotsam and Jetsam are just walking distance. Will definitely stay here again but hopefully with my friends.",Accomodation,"October 16-18 3D2N

They allowed us to check in 2 hours earlier since we didn't expect that the bus ride would only take 4hrs from Cubao. (departed 11pm) They have air conditioned rooms (split type), a bed for 2 and a mini sofa inside the room which are all cleaned. They have a common bathroom (always clean) There's a lounging area where you can hang around which is also in front of the highway. The best part is that the Great Northwest and the Tavern are right next to them, then Flotsam and Jetsam are just walking distance. Will definitely stay here again but hopefully with my friends.",october 1618 3d2n allowed u check 2 hour earlier since didnt expect bus ride would take 4hrs cubao departed 11pm air conditioned room split type bed 2 mini sofa inside room cleaned common bathroom always clean there lounging area hang around also front highway best part great northwest tavern right next flotsam jetsam walking distance definitely stay hopefully friend,0.0,0.73,0.27,0.9618,positive
Tweet,zenfox,2024-05-16,KermitÆs truffle pasta was good but not as mind-blowing as I expected.,Food,KermitÆs truffle pasta was good but not as mind-blowing as I expected.,kermitæs truffle pasta good mindblowing expected,0.0,0.633,0.367,0.4404,positive
Post,Batang Latagaw,2024-04-04,"Nung first time kong pumunta sa Elyu sa ibang resort ako nagbook pero di ako nakawork dahil mabagal ang signal and wifi, di rin ako nakatulog ng maayos dahil hindi malamig ang room at sobrang init during summer. But Fatwave Surf Resort did not fail us dahil malakas ang free wifi nila and aobrang cozy ng room.",Accomodation,"When I went to Elyu for the first time, I booked at another resort but I couldn't work because the signal and wifi were slow, I also didn't sleep well because the room wasn't cold and it was too hot during summer. But Fatwave Surf Resort did not fail us because their free wifi is strong and the room is very cozy.",went elyu first time booked another resort couldnt work signal wifi slow also didnt sleep well room wasnt cold hot summer fatwave surf resort fail u free wifi strong room cozy,0.137,0.694,0.17,0.3151,positive
Tweet,HannahPeterson_88,2022-11-03,"The thrill of riding a wave during the golden hour is a must-do when visiting San Juan, La Union.",Activities,"The thrill of riding a wave during the golden hour is a must-do when visiting San Juan, La Union.",thrill riding wave golden hour mustdo visiting san juan la union,0.0,0.8,0.2,0.3612,positive
Post,BigGuys Thrift,2021-02-01,"Solid! must try UNLI WINGS top tier level hahahaha 

hindi sya yung tulad sa ibang unli wings dito sa launion na parang pinahiran lang ng sauce",Food,"Solid! must try UNLI WINGS top tier level hahahaha 

It's not the same as the other unli wings here at launion that seem to be coated with sauce",solid must try unli wing top tier level hahahaha unli wing launion seem coated sauce,0.0,0.793,0.207,0.34,positive
Tweet,Jamie Travels,2019-08-04,"There is a great sense of community, and the people are always willing to share their stories.",Activities,"There is a great sense of community, and the people are always willing to share their stories.",great sense community people always willing share story,0.0,0.488,0.512,0.743,positive
Tweet,just_mike,2022-07-02,"Costa Villa Beach Resort have a tied up with the surfers at Sebay beach resort. For me this boosted local tourism because instructors are locals. Cheaper than the most known surf resort in San Juan. However if you are a pro, the waves in Costa Villa is not for beginners. You can rent a surf board and try the waves in front of Costa Villa.",Accomodation,"Costa Villa Beach Resort has a tie up with the surfers at Sebay beach resort. For me this boosted local tourism because instructors are locals. Cheaper than the most known surf resort in San Juan. However if you are a pro, the waves in Costa Villa are not for beginners. You can rent a surf board and try the waves in front of Costa Villa.",costa villa beach resort tie surfer sebay beach resort boosted local tourism instructor local cheaper known surf resort san juan however pro wave costa villa beginner rent surf board try wave front costa villa,0.0,0.93,0.07,0.3612,positive
Post,Pier Guz,2024-01-21,All the food on the menu at Medlay is great and has a unique and distinct taste beyond expectation,Food,All the food on the menu at Medlay is great and has a unique and distinct taste beyond expectation,food menu medlay great unique distinct taste beyond expectation,0.0,0.661,0.339,0.6249,positive
Post,Christine Ancho,2023-09-03,Staff are really accommodating and rooms are cozy and clean. I would recommend this place especially when youÆre traveling w your barkadas :),Accomodation,Staff are really accommodating and rooms are cozy and clean. I would recommend this place especially when you're traveling with your friends :),staff really accommodating room cozy clean would recommend place especially youre traveling friend,0.0,0.536,0.464,0.8255,positive
Post,Ryan Carriaga,2024-04-28,What a great place to celebrate our company summer outing! The place is great and the staff are very accomodating and helpful.,Accomodation,What a great place to celebrate our company summer outing! The place is great and the staff are very accommodating and helpful.,great place celebrate company summer outing place great staff accommodating helpful,0.0,0.323,0.677,0.9403,positive
Tweet,sweetnspicy??,2024-07-26,"The coffee from the place in Elyu was bitter, but the pastries were great.",Food,"The coffee from the place in Elyu was bitter, but the pastries were great.",coffee place elyu bitter pastry great,0.257,0.367,0.376,0.3182,positive
Tweet,su-yenna,2024-07-16,For some reason gusto kong bumalik ng elyu,Experience,For some reason I want to return to Elyu,reason want return elyu,0.0,0.698,0.302,0.0772,positive
Tweet,Erykah Sanchez,2023-10-17,Surfing in Urbiz was a bit of a letdown this time. The waves were too small for a good ride.,Experience,Surfing in Urbiz was a bit of a letdown this time. The waves were too small for a good ride.,surfing urbiz bit letdown time wave small good ride,0.0,0.734,0.266,0.4404,positive
Post,Clarisse Joy Villanueva,2019-09-14,"I love Elyu, but the weather was terrible during my visit. ",Experience,"I love Elyu, but the weather was terrible during my visit.",love elyu weather terrible visit,0.301,0.291,0.408,0.2732,positive
Post,Jonahlyn Miralles Gallito,2024-06-18,"Indeed, a home away from home. It was a lovely stay with very hospitable and accommodating hosts. One of my favorite spots in the house was the dining area, where good stories were shared as I enjoyed delicious food and even karaoke. Another favorite was the upper-level terrace, where I spent time doing my personal devotions and enjoying the rising sun in the morning and the cool breeze at night. Overall, it was enjoyable, and I hope to be back again",Accomodation,"Indeed, a home away from home. It was a lovely stay with very hospitable and accommodating hosts. One of my favorite spots in the house was the dining area, where good stories were shared as I enjoyed delicious food and even karaoke. Another favorite was the upper-level terrace, where I spent time doing my personal devotions and enjoying the rising sun in the morning and the cool breeze at night. Overall, it was enjoyable, and I hope to be back again",indeed home away home lovely stay hospitable accommodating host one favorite spot house dining area good story shared enjoyed delicious food even karaoke another favorite upperlevel terrace spent time personal devotion enjoying rising sun morning cool breeze night overall enjoyable hope back,0.0,0.45,0.55,0.9878,positive
Post,Diana Cabangon,2019-11-09,Little Surfmaid offers a great location near the beach with friendly and accommodating staff.,Experience,Little Surfmaid offers a great location near the beach with friendly and accommodating staff.,little surfmaid offer great location near beach friendly accommodating staff,0.0,0.532,0.468,0.7927,positive
Post,Ana Valdez,2019-12-30,"Excellent FOOD, PLACE, SERVICE and the new location is PERFECT. ",Food,"Excellent FOOD, PLACE, SERVICE and the new location is PERFECT.",excellent food place service new location perfect,0.0,0.403,0.597,0.8126,positive
Tweet,Desire Torres,2023-01-30,Pottery in Taboc was underwhelming. I expected more hands-on experience.,Experience,Pottery in Taboc was underwhelming. I expected more hands-on experience.,pottery taboc underwhelming expected handson experience,0.0,1.0,0.0,0.0,positive
Tweet,D,2024-07-28,gusto ko pumuntang elyu,Experience,I want to go to Elyu,want go elyu,0.0,0.606,0.394,0.0772,positive
Tweet,PATRICK,2024-04-11,I was disappointed with the quality of my meal at Clean Beach; it could be better.,Food,I was disappointed with the quality of my meal at Clean Beach; it could be better.,disappointed quality meal clean beach could better,0.244,0.315,0.441,0.3612,positive
Post,Mifflin Kaye Bugay,2024-06-01,It was a great experience at Shorebreak. Clean room and bathroom. The staff are also accommodating and nice.,Accomodation,It was a great experience at Shorebreak. Clean room and bathroom. The staff are also accommodating and nice.,great experience shorebreak clean room bathroom staff also accommodating nice,0.0,0.422,0.578,0.8625,positive
Post,Yam Parco-Lim,2024-08-03,Very good location. Beach front. Boodle meal was really yummy and staff are all accommodating and kind. We absolutely recommend.,Accomodation,Very good location. Beachfront. Boodle meal was really yummy and staff are all accommodating and kind. We absolutely recommend.,good location beachfront boodle meal really yummy staff accommodating kind absolutely recommend,0.0,0.385,0.615,0.915,positive
Tweet,Morgan Rae Ramos,2021-05-28,"Masa, numba one good cafΘ <3",Experience,"Masa, numba one good cafΘ <3",masa numba one good cafθ 3,0.0,0.633,0.367,0.4404,positive
Tweet,Mara Angela Garcia,2023-05-30,"Elyu is a beach loverÆs dream! Surf, eat, and relax!",Experience,"Elyu is a beach lover's dream! Surf, eat, and relax!",elyu beach lover dream surf eat relax,0.0,0.315,0.685,0.8271,positive
